# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	209677	210204	+	AQZ89098.1			carbonic anhydrase			B4U62_01180	528	175	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	210268	210558	+							B4U62_01185	291		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	210268	210558	+	AQZ89099.1			hypothetical protein			B4U62_01185	291	96	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	210616	210990	+							B4U62_01190	375		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	210616	210990	+	AQZ89100.1			hypothetical protein			B4U62_01190	375	124	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	211473	211775	+							B4U62_01195	303		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	211473	211775	+	AQZ89101.1			transcriptional regulator			B4U62_01195	303	100	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	211903	213075	+							B4U62_01200	1173		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	211903	213075	+	AQZ89102.1			MFS transporter			B4U62_01200	1173	390	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	213199	213513	+							B4U62_01205	315		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	213199	213513	+	AQZ89103.1			hypothetical protein			B4U62_01205	315	104	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	213985	214152	+							B4U62_01210	168		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	213985	214152	+	AQZ89104.1			sporulation killing factor			B4U62_01210	168	55	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	214219	215451	+							B4U62_01215	1233		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	214219	215451	+	AQZ89105.1			sporulation killing factor system radical SAM maturase			B4U62_01215	1233	410	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	215448	216938	+							B4U62_01220	1491		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	215448	216938	+	AQZ89106.1			sporulation-killing factor biosynthesis protein SkfC			B4U62_01220	1491	496	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	216957	217676	+							B4U62_01225	720		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	216957	217676	+	AQZ89107.1			SkfA peptide export ATP-binding protein SkfE			B4U62_01225	720	239	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	217669	219084	+							B4U62_01230	1416		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	217669	219084	+	AQZ89108.1			sporulation killing factor system integral membrane protein			B4U62_01230	1416	471	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	219131	219646	+							B4U62_01235	516		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	219131	219646	+	AQZ89109.1			hypothetical protein			B4U62_01235	516	171	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	219651	220076	+							B4U62_01240	426		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	219651	220076	+	AQZ89110.1			thioredoxin			B4U62_01240	426	141	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	220323	221300	+							B4U62_01245	978		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	220323	221300	+	AQZ89111.1			hypothetical protein			B4U62_01245	978	325	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	221302	221973	+							B4U62_01250	672		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	221302	221973	+	AQZ89112.1			DNA-binding response regulator			B4U62_01250	672	223	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	221994	222956	+							B4U62_01255	963		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	221994	222956	+	AQZ92991.1			two-component sensor histidine kinase			B4U62_01255	963	320	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	223015	223278	+							B4U62_01260	264		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	223015	223278	+	AQZ89113.1			hypothetical protein			B4U62_01260	264	87	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	223263	224033	-							B4U62_01265	771		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	223263	224033	-	AQZ89114.1			serine/threonine protein kinase			B4U62_01265	771	256	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	224119	224976	-							B4U62_01270	858		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	224119	224976	-	AQZ89115.1			hypothetical protein			B4U62_01270	858	285	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	225108	226292	+							B4U62_01275	1185		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	225108	226292	+	AQZ89116.1			DUF4885 domain-containing protein			B4U62_01275	1185	394	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	226610	227998	+							B4U62_01280	1389		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	226610	227998	+	AQZ89117.1			transporter			B4U62_01280	1389	462	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	228110	228358	+							B4U62_01285	249		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	228110	228358	+	AQZ89118.1			sigma-G-dependent sporulation-specific SASP protein			B4U62_01285	249	82	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	228375	228566	+							B4U62_01290	192		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	228375	228566	+	AQZ89119.1			hypothetical protein			B4U62_01290	192	63	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	228593	229396	-							B4U62_01295	804		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	228593	229396	-	AQZ89120.1			class D beta-lactamase			B4U62_01295	804	267	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	229569	230822	+							B4U62_01300	1254		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	229569	230822	+	AQZ89121.1			fatty-acid peroxygenase			B4U62_01300	1254	417	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	230863	231123	-							B4U62_01305	261		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	230863	231123	-	AQZ89122.1			hypothetical protein			B4U62_01305	261	86	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	231392	233011	+							B4U62_01310	1620		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	231392	233011	+	AQZ92992.1			amino acid:proton symporter			B4U62_01310	1620	539	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	233058	233939	-							B4U62_01315	882		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	233058	233939	-	AQZ89123.1			glycerophosphodiester phosphodiesterase			B4U62_01315	882	293	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	234038	235372	-							B4U62_01320	1335		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	234038	235372	-	AQZ89124.1			glycerol-3-phosphate transporter			B4U62_01320	1335	444	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	235371	235559	+							B4U62_01325	189		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	235371	235559	+	AQZ89125.1			hypothetical protein			B4U62_01325	189	62	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	235669	235917	+							B4U62_01330	249		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	235669	235917	+	AQZ89126.1			hypothetical protein			B4U62_01330	249	82	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	236009	236926	+							B4U62_01335	918		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	236009	236926	+	AQZ89127.1			MarR family transcriptional regulator			B4U62_01335	918	305	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	236923	238173	+							B4U62_01340	1251		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	236923	238173	+	AQZ92993.1			MFS transporter			B4U62_01340	1251	416	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	238208	238492	-							B4U62_01345	285		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	238208	238492	-	AQZ89128.1			hypothetical protein			B4U62_01345	285	94	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	238688	239599	-							B4U62_01350	912		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	238688	239599	-	AQZ89129.1			hypothetical protein			B4U62_01350	912	303	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	239688	241886	-							B4U62_01355	2199		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	239688	241886	-	AQZ89130.1			hypothetical protein			B4U62_01355	2199	732	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	241961	242881	-							B4U62_01360	921		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	241961	242881	-	AQZ89131.1			transporter			B4U62_01360	921	306	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	242878	243705	-							B4U62_01365	828		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	242878	243705	-	AQZ89132.1			AraC family transcriptional regulator			B4U62_01365	828	275	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	243936	245090	+							B4U62_01370	1155		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	243936	245090	+	AQZ89133.1			phosphoribosylglycinamide formyltransferase 2			B4U62_01370	1155	384	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	245234	246175	+							B4U62_01375	942		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	245234	246175	+	AQZ89134.1			metalloprotease			B4U62_01375	942	313	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	246138	246536	+							B4U62_01380	399		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	246138	246536	+	AQZ89135.1			hypothetical protein			B4U62_01380	399	132	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	246702	247592	+							B4U62_01385	891		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	246702	247592	+	AQZ89136.1			carboxylesterase YbfK			B4U62_01385	891	296	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	247788	248321	+							B4U62_01390	534		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	247788	248321	+	AQZ89137.1			CDP-diacylglycerol--serine O-phosphatidyltransferase			B4U62_01390	534	177	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	248312	248800	+							B4U62_01395	489		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	248312	248800	+	AQZ89138.1			DedA family protein			B4U62_01395	489	162	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	248793	249584	+							B4U62_01400	792		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	248793	249584	+	AQZ89139.1			phosphatidylserine decarboxylase proenzyme			B4U62_01400	792	263	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	249639	249917	+							B4U62_01405	279		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	249639	249917	+	AQZ89140.1			hypothetical protein			B4U62_01405	279	92	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	250023	251363	+							B4U62_01410	1341		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	250023	251363	+	AQZ89141.1			hydrolase			B4U62_01410	1341	446	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	251471	252358	+							B4U62_01415	888		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	251471	252358	+	AQZ89142.1			AraC family transcriptional regulator			B4U62_01415	888	295	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	252558	253526	+							B4U62_01420	969		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	252558	253526	+	AQZ89143.1			sulfurtransferase			B4U62_01420	969	322	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	253562	254806	-							B4U62_01425	1245		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	253562	254806	-	AQZ89144.1			glutamate:protein symporter			B4U62_01425	1245	414	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	254951	256846	-							B4U62_01430	1896		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	254951	256846	-	AQZ89145.1			PTS glucose transporter subunit IICBA			B4U62_01430	1896	631	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	256867	257616	-							B4U62_01435	750		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	256867	257616	-	AQZ89146.1			glucosamine-6-phosphate deaminase			B4U62_01435	750	249	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	257835	258542	+							B4U62_01440	708		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	257835	258542	+	AQZ89147.1			GntR family transcriptional regulator			B4U62_01440	708	235	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	258576	258851	+							B4U62_01445	276		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	258576	258851	+	AQZ89148.1			hypothetical protein			B4U62_01445	276	91	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	259060	260130	+							B4U62_01450	1071		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	259060	260130	+	AQZ89149.1			branched chain amino acid aminotransferase			B4U62_01450	1071	356	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	260167	261579	-							B4U62_01455	1413		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	260167	261579	-	AQZ89150.1			amino acid permease			B4U62_01455	1413	470	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	261700	262647	-							B4U62_01460	948		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	261700	262647	-	AQZ89151.1			homocysteine S-methyltransferase			B4U62_01460	948	315	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	262651	262764	+							B4U62_01465	114		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	262651	262764	+	AQZ89152.1			homocysteine methyltransferase			B4U62_01465	114	37	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	262776	264212	-							B4U62_01470	1437		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	262776	264212	-	AQZ89153.1			sodium/glutamine symporter GlnT			B4U62_01470	1437	478	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	264235	265218	-							B4U62_01475	984		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	264235	265218	-	AQZ89154.1			glutaminase 1			B4U62_01475	984	327	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	265520	266752	+							B4U62_01480	1233		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	265520	266752	+	AQZ92994.1			sensor histidine kinase			B4U62_01480	1233	410	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	266763	267707	+							B4U62_01485	945		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	266763	267707	+	AQZ89155.1			transcriptional regulator			B4U62_01485	945	314	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	267730	267918	+							B4U62_01490	189		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	267730	267918	+	AQZ89156.1			hypothetical protein			B4U62_01490	189	62	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	267934	268860	+							B4U62_01495	927		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	267934	268860	+	AQZ89157.1			5-dehydro-4-deoxyglucarate dehydratase			B4U62_01495	927	308	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	268890	270356	+							B4U62_01500	1467		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	268890	270356	+	AQZ89158.1			aldehyde dehydrogenase family protein			B4U62_01500	1467	488	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	270440	271807	+							B4U62_01505	1368		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	270440	271807	+	AQZ89159.1			MFS transporter			B4U62_01505	1368	455	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	271844	273211	+							B4U62_01510	1368		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	271844	273211	+	AQZ89160.1			glucarate dehydratase			B4U62_01510	1368	455	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	273281	273982	+							B4U62_01515	702		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	273281	273982	+	AQZ89161.1			GntR family transcriptional regulator			B4U62_01515	702	233	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	274073	275605	+							B4U62_01520	1533		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	274073	275605	+	AQZ89162.1			D-galactarate dehydratase			B4U62_01520	1533	510	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	275882	276802	+							B4U62_01525	921		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	275882	276802	+	AQZ89163.1			hypothetical protein			B4U62_01525	921	306	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	277204	277365	+							B4U62_01530	162		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	277204	277365	+	AQZ89164.1			tryptophan RNA-binding attenuator protein inhibitory protein			B4U62_01530	162	53	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	277386	278324	+							B4U62_01535	939		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	277386	278324	+	AQZ89165.1			transporter			B4U62_01535	939	312	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	278421	279101	+							B4U62_01540	681		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	278421	279101	+	AQZ89166.1			DNA-binding response regulator			B4U62_01540	681	226	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	279103	280038	+							B4U62_01545	936		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	279103	280038	+	AQZ89167.1			two-component sensor histidine kinase			B4U62_01545	936	311	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	280130	281053	+							B4U62_01550	924		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	280130	281053	+	AQZ89168.1			ABC transporter ATP-binding protein			B4U62_01550	924	307	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	281072	281758	+							B4U62_01555	687		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	281072	281758	+	AQZ92995.1			ABC transporter permease			B4U62_01555	687	228	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	281813	282199	-							B4U62_01560	387		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	281813	282199	-	AQZ89169.1			hypothetical protein			B4U62_01560	387	128	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	282513	282941	+							B4U62_01565	429		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	282513	282941	+	AQZ89170.1			cell wall hydrolase CwlJ			B4U62_01565	429	142	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	283047	283778	+							B4U62_01570	732		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	283047	283778	+	AQZ92996.1			hypothetical protein			B4U62_01570	732	243	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	283860	284036	+							B4U62_01575	177		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	283860	284036	+	AQZ89171.1			hypothetical protein			B4U62_01575	177	58	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	284055	285806	+							B4U62_01580	1752		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	284055	285806	+	AQZ89172.1			alkaline phosphatase			B4U62_01580	1752	583	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	285819	286031	+							B4U62_01585	213		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	285819	286031	+	AQZ89173.1			protein translocase TatA			B4U62_01585	213	70	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	286092	286820	+							B4U62_01590	729		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	286092	286820	+	AQZ89174.1			preprotein translocase subunit TatC			B4U62_01590	729	242	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	286817	287464	-							B4U62_01595	648		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	286817	287464	-	AQZ89175.1			pyroglutamyl-peptidase I			B4U62_01595	648	215	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	287543	288655	+							B4U62_01600	1113		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	287543	288655	+	AQZ89176.1			aminotransferase			B4U62_01600	1113	370	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	288697	290136	-							B4U62_01605	1440		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	288697	290136	-	AQZ89177.1			lincomycin efflux MFS transporter Lmr(B)			B4U62_01605	1440	479	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	290176	290742	-							B4U62_01610	567		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	290176	290742	-	AQZ89178.1			TetR family transcriptional regulator			B4U62_01610	567	188	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	290959	292086	+							B4U62_01615	1128		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	290959	292086	+	AQZ89179.1			L-asparaginase			B4U62_01615	1128	375	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	292249	292887	+							B4U62_01620	639		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	292249	292887	+	AQZ89180.1			lipase EstA			B4U62_01620	639	212	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	292925	293308	-							B4U62_01625	384		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	292925	293308	-	AQZ89181.1			RDD family protein			B4U62_01625	384	127	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	293543	294619	+							B4U62_01630	1077		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	293543	294619	+	AQZ89182.1			hypothetical protein			B4U62_01630	1077	358	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	294659	295615	-							B4U62_01635	957		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	294659	295615	-	AQZ89183.1			sensor histidine kinase			B4U62_01635	957	318	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	295628	296329	-							B4U62_01640	702		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	295628	296329	-	AQZ89184.1			DNA-binding response regulator			B4U62_01640	702	233	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	296473	297213	+							B4U62_01645	741		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	296473	297213	+	AQZ89185.1			ABC transporter ATP-binding protein			B4U62_01645	741	246	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	297214	298374	+							B4U62_01650	1161		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	297214	298374	+	AQZ89186.1			ABC transporter permease NatB			B4U62_01650	1161	386	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	298510	299442	+							B4U62_01655	933		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	298510	299442	+	AQZ89187.1			oxidoreductase			B4U62_01655	933	310	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	299482	300546	-							B4U62_01660	1065		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	299482	300546	-	AQZ89188.1			lipoprotein			B4U62_01660	1065	354	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	300874	302292	+							B4U62_01665	1419		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	300874	302292	+	AQZ89189.1			DUF4901 domain-containing protein			B4U62_01665	1419	472	
gene	pseudogene	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	302341	302469	+							B4U62_01670	129		pseudo
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	302341	302469	+				hydrolase			B4U62_01670	129		pseudo
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	302479	303840	+							B4U62_01675	1362		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	302479	303840	+	AQZ92997.1			DUF4901 domain-containing protein			B4U62_01675	1362	453	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	303848	304351	-							B4U62_01680	504		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	303848	304351	-	AQZ89190.1			peptidoglycan L-alanyl-D-glutamate endopeptidase CwlK			B4U62_01680	504	167	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	304474	305595	+							B4U62_01685	1122		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	304474	305595	+	AQZ89191.1			transcriptional regulator			B4U62_01685	1122	373	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	305702	306478	+							B4U62_01690	777		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	305702	306478	+	AQZ89192.1			glucose 1-dehydrogenase			B4U62_01690	777	258	
gene	protein_coding	GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	306503	308188	+							B4U62_01695	1686		
CDS		GCA_002055965.1	Primary Assembly	chromosome		CP020102.1	306503	308188	+	AQZ89193.1			oligo-1,6-glucosidase			B4U62_01695	1686	561	
